smiles,SourceRow,ParseStatus,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
[Ni](P(C)(C)C)(P(C)(C)C),0,ok,3.746417931251032,76.2114326716684,7.707106781186548,7.316227766016838,10.30384048104053,3.7071067811865475,3.316227766016838,12.91152144312159,4.027740239554723,23.66820541170596,0.47434164902525694,17.60184649404715,0.7115124735378854,26.40276974107073,12.072938521142719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.562541353415604,0.0,212.03936679999998,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.0,1.3535064935064933,9,192.70699999999997,27.435741083179973,10.353506493506494,3.168079424622205,9.353506493506494,65.92784236642613,2.435763888888889,,2.435763888888889,,0.7934027777777777,,-0.7934027777777781,,2.1775,52.17400000000004,212.867,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,64,0.0,0.0,0.0,0.0,0.0,65.63547987455831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,0.0,39.98895362539521,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,39.98895362539521,13.573587728020396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111111111111111,0.0,0.0,0.0,0.0,-1.5868055555555558,0.0,14.614583333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48654412541802405
[Ni](P(CC)(CC)CC)(P(CC)(CC)CC),1,ok,4.743387171442365,128.47572942334932,11.949747468305834,11.558868453136125,14.546481168159817,7.071067811865477,6.680188796695765,14.518123160919803,4.37119767831379,22.09519212458372,4.006230589874905,29.743975028908995,2.1911664333939105,30.147769887880752,12.072938521142719,0.0,0.0,0.0,0.0,0.0,36.971460164807525,0.0,0.0,55.11601092616414,0.0,296.133267184,0.5333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.3535064935064933,15,264.77299999999997,1675.7404298056397,16.353506493506494,7.635634245372889,4.259142354277478,104.11749505280581,2.4420756172839506,,2.4420756172839506,,0.9165046296296295,,-0.9165046296296298,,4.518100000000004,79.87600000000008,297.029,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,100,0.0,0.0,0.0,0.0,0.0,104.16040961211439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,41.54242319814374,36.971460164807525,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.971460164807525,13.573587728020396,0.0,41.54242319814374,0.0,0.0,0.0,0.0,0.0,0.0,2.3506944444444446,0.0,0.0,0.0,0.0,-1.8330092592592593,8.96875,14.652453703703705,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456304110351756
[Ni](P(CCC)(CCC)CCC)(P(CCC)(CCC)CCC),2,ok,5.3042074492841085,185.33372532382086,16.19238815542512,15.80150914025541,18.7891218552791,10.071067811865476,9.680188796695763,17.518123160919803,6.749877334754146,23.23123109390479,4.431072189209867,29.17762821270672,3.93858905386647,36.48355131292023,12.072938521142719,0.0,0.0,0.0,0.0,0.0,38.524929737556064,36.971460164807525,0.0,55.11601092616414,0.0,380.22716756799997,0.42857142857142855,0.6190476190476191,0.7619047619047619,1.0,1.3535064935064933,21,336.8390000000001,26248.24811506465,22.353506493506497,12.737108952601288,8.136100228059863,142.30714773918547,2.4781944444444446,,2.4781944444444446,,1.043425925925926,,-1.0434259259259262,,6.858700000000009,107.57800000000009,381.19100000000026,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,136,0.0,0.0,0.0,0.0,0.0,142.68533934967047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,80.0673529356998,36.971460164807525,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.971460164807525,13.573587728020396,0.0,80.0673529356998,0.0,0.0,0.0,0.0,0.0,0.0,2.4781944444444446,0.0,0.0,0.0,0.0,-2.0868518518518524,18.166071900982615,14.58147439531368,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22782692490145195
[Ni](P(C(C)C)(C(C)C)C(C)C)(P(C(C)C)(C(C)C)C(C)C),3,ok,6.064744013368731,232.79131207474396,17.171208396324303,16.780329381154594,19.767942096178285,9.367360819030937,8.976481803861228,16.035877096103736,8.554982729284887,26.565001417273937,5.369306393762916,35.71233856033606,4.784893382017795,41.12578487016877,12.072938521142719,0.0,0.0,0.0,0.0,33.95396670421984,0.0,0.0,0.0,96.65843412430786,0.0,380.22716756799997,0.38095238095238093,0.5238095238095238,0.6190476190476191,1.0,1.3535064935064933,21,336.8390000000001,13206.070205268,22.353506493506497,8.4509390254802,4.255396845212231,142.30714773918544,2.5184645061728395,,2.5184645061728395,,0.8755787037037034,,-1.3521064814814816,,6.849100000000009,107.4460000000001,381.19100000000014,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,136,0.0,0.0,0.0,0.0,0.0,142.68533934967044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,117.03881310050728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.95396670421984,13.573587728020396,0.0,83.08484639628746,0.0,0.0,0.0,0.0,0.0,0.0,2.3680555555555554,0.0,0.0,5.2534722222222205,0.0,-2.704212962962963,0.0,30.22157407407408,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31869135388949976
[Ni](P(C1CC1)(C1CC1)C1CC1)(P(C1CC1)(C1CC1)C1CC1),4,ok,1.3951473861063832,349.2703597264842,13.656489770562876,13.265610755393167,16.25322347041686,10.338137074321782,9.947258059152073,17.00665335139458,9.27242166449919,25.253216607779056,7.340986687878017,35.15714706968948,5.672191716638533,43.44772460180949,12.072938521142719,0.0,0.0,0.0,0.0,0.0,33.95396670421984,77.04985947511214,0.0,13.573587728020396,0.0,368.133267184,0.38095238095238093,0.5714285714285714,0.7142857142857143,1.0,1.3535064935064933,21,336.8390000000001,561577.2320687114,13.622538595940604,4.496677712000187,2.124759350166775,136.2721608180101,2.7430555555555554,,2.7430555555555554,,0.8987731481481478,,-0.898773148148148,,5.373100000000005,94.76200000000007,369.0950000000002,0,0,6,0,6,0,0,0,0,0,3,0,8,6,0,6,124,0.0,0.0,0.0,0.0,0.0,136.6503524284951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13.573587728020396,12.072938521142719,0.0,0.0,0.0,111.00382617933197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.95396670421984,13.573587728020396,0.0,77.04985947511214,0.0,0.0,0.0,0.0,0.0,0.0,2.7430555555555554,0.0,0.0,8.00347222222222,0.0,-1.7975462962962958,20.189907407407404,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3985665403625187
[Ni](P(CCCC)(CCCC)CCCC)(P(CCCC)(CCCC)CCCC),5,ok,5.663274909219512,245.95415876345749,20.4350288425444,20.044149827374692,23.031762542398383,13.071067811865477,12.680188796695763,20.518123160919803,8.871197678313788,25.352551437464427,6.11305270454933,29.980929071605825,4.23899742968636,36.083083638680186,12.072938521142719,0.0,0.0,0.0,0.0,0.0,77.04985947511214,36.971460164807525,0.0,55.11601092616414,0.0,464.321067952,0.37037037037037035,0.5555555555555556,0.7037037037037037,1.0,1.3535064935064933,27,408.90500000000026,566119.4643334583,28.353506493506497,18.14876644063643,12.60161824442403,180.49680042556514,2.556527777777778,,2.556527777777778,,1.1446078987150416,,-1.1446078987150416,,9.199300000000001,135.28000000000003,465.35300000000035,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,172,0.0,0.0,0.0,0.0,0.0,181.21026908722655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,118.59228267325587,36.971460164807525,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.971460164807525,13.573587728020396,0.0,118.59228267325587,0.0,0.0,0.0,0.0,0.0,0.0,2.556527777777778,0.0,0.0,0.0,0.0,-2.2892157974300833,27.361277872260022,14.510299036281179,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.12420997126108424
[Ni](P(C1CCC1)(C1CCC1)C1CCC1)(P(C1CCC1)(C1CCC1)C1CCC1),6,ok,1.401108855019128,418.50622722978073,17.89913045768216,17.50825144251245,20.49586415753614,13.338137074321782,12.947258059152073,20.00665335139458,11.39374200805883,27.374536951338694,10.507915365875496,38.32407574768693,7.62168145942171,46.84670408737581,12.072938521142719,0.0,0.0,0.0,0.0,0.0,33.95396670421984,115.57478921266822,0.0,13.573587728020396,0.0,452.22716756799997,0.3333333333333333,0.5185185185185185,0.6296296296296297,1.0,1.3535064935064933,27,408.90500000000026,467498.8707502101,19.06996049191819,7.492562713757458,2.7922662546724104,174.4618135043898,2.803055555555556,,2.803055555555556,,1.1169444444444445,,-1.1169444444444447,,7.713700000000008,122.46400000000008,453.2570000000003,0,0,6,0,6,0,0,0,0,0,3,0,8,6,0,6,160,0.0,0.0,0.0,0.0,0.0,175.1752821660512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13.573587728020396,12.072938521142719,0.0,0.0,0.0,149.52875591688806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.95396670421984,13.573587728020396,0.0,115.57478921266822,0.0,0.0,0.0,0.0,0.0,0.0,2.803055555555556,0.0,0.0,7.751136621315192,0.0,-2.233888888888889,29.818585600907028,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608986453030648
[Ni](P(C(C)CC)(C(C)CC)C(C)CC)(P(C(C)CC)(C(C)CC)C(C)CC),7,ok,6.728740300493893,308.78376157168657,21.413849083443587,21.022970068273878,24.01058278329757,12.595389633795646,12.204510618625937,19.26390591086844,9.4825546635362,26.477961479170673,8.297330347426357,38.09436555683294,5.420406729942516,43.925174999838255,12.072938521142719,0.0,0.0,0.0,0.0,33.95396670421984,38.524929737556064,0.0,0.0,96.65843412430786,0.0,464.321067952,0.4074074074074074,0.5555555555555556,0.6666666666666666,1.0,1.3535064935064933,27,408.90500000000026,391010.15453765733,28.353506493506497,12.914561760291463,5.738505435481361,180.49680042556517,2.644632306626354,,2.644632306626354,,0.9365216364323503,,-1.4790277777777783,,9.189700000000002,135.14800000000002,465.35300000000024,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,172,0.0,0.0,0.0,0.0,0.0,181.21026908722658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,155.5637428380634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.95396670421984,13.573587728020396,0.0,121.60977613384352,0.0,0.0,0.0,0.0,0.0,0.0,2.4955555555555557,0.0,0.0,5.619129818594102,0.0,-2.958055555555556,8.28065523431595,30.701603835978837,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1772276004745861
[Ni](P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)(P(C(C)(C)C)(C(C)(C)C)C(C)(C)C),8,ok,7.454278915242645,385.4475772038192,22.707106781186546,22.316227766016837,25.30384048104053,11.207106781186548,10.816227766016837,17.41152144312159,14.803398590529467,33.550923247023576,6.160195771588398,39.90276974107071,7.639390591922356,53.25346217633841,12.072938521142719,0.0,0.0,0.0,30.936473243632143,0.0,0.0,0.0,0.0,138.2008573224516,0.0,464.321067952,0.2962962962962963,0.4074074074074074,0.48148148148148145,1.0,1.3535064935064933,27,408.90500000000026,58146.980155434896,28.353506493506497,7.492562713757458,4.671004598655496,180.49680042556517,2.556658950617284,,2.556658950617284,,0.33680555555555525,,-1.8658333333333348,,9.189700000000002,135.14800000000002,465.35300000000024,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,172,0.0,0.0,0.0,0.0,0.0,181.21026908722658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.573587728020396,12.072938521142719,0.0,0.0,0.0,155.5637428380634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,30.936473243632143,13.573587728020396,0.0,124.62726959443118,0.0,0.0,0.0,0.0,0.0,0.0,2.329861111111111,0.0,2.020833333333332,0.0,0.0,-3.731666666666668,0.0,46.019861111111105,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2817451450750795
[Ni](P(C1CCCC1)(C1CCCC1)C1CCCC1)(P(C1CCCC1)(C1CCCC1)C1CCCC1),9,ok,1.4698028914740715,477.61988151934355,22.14177114480144,21.75089212963173,24.738504844655417,16.338137074321782,15.947258059152073,23.00665335139458,13.515062351618468,29.495857294898332,12.007915365875496,39.82407574768694,10.727063606952317,49.9520862349064,12.072938521142719,0.0,0.0,0.0,0.0,0.0,33.95396670421984,154.0997189502243,0.0,13.573587728020396,0.0,536.321067952,0.2727272727272727,0.42424242424242425,0.5757575757575758,1.0,1.3535064935064933,33,480.97100000000034,115826258.34826764,24.67670670667001,10.993660547507295,4.50060605355617,212.65146619076947,2.8630555555555555,,2.8630555555555555,,1.249800170068027,,-1.3351157407407415,,10.054299999999996,150.16599999999983,537.4190000000003,0,0,6,0,6,0,0,0,0,0,3,0,8,6,0,6,196,0.0,0.0,0.0,0.0,0.0,213.70021190360728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13.573587728020396,12.072938521142719,0.0,0.0,0.0,188.05368565444414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.95396670421984,13.573587728020396,0.0,154.0997189502243,0.0,0.0,0.0,0.0,0.0,0.0,2.8630555555555555,0.0,0.0,7.498801020408162,0.0,-2.6702314814814825,39.447263794406645,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2135505480240093
