file,status,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
conformer_1.mol,ok,7.555702160493827,7.555702160493827,1.1006944444444446,-5.551666666666665,0.48597332374687646,52.44444444444444,210.85100000000014,192.70699999999997,210.02371673599998,62,2,,,,,0.8888888888888888,1.2222222222222223,1.4444444444444444,,,,,,,,,2.1632061069730244,7.454278915242645,404.9182521908384,22.707106781186546,22.210654957016754,6.987122054040277,11.207106781186548,10.624483498974493,7.5234934964068,1.158330015165233,9.607230750983534,0.18973665961010272,7.04073859761886,0.14230249470757703,5.280553948214145,1.3535064935064933,58146.980155434896,1.2106269844980881,3.168079424622205,9.353506493506494,91.2173113694467,0.0,0.0,0.0,0.0,0.0,89.87806339125254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.247241739084366,12.072938521142719,0.0,0.0,0.0,0.0,39.55788313102555,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,39.55788313102555,13.573587728020396,0.0,24.673654011063956,0.0,0.0,0.0,0.0,0.0,65.20440938018865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.673654011063956,136.00263888888884,-1.1006944444444446,0.0,0.0,0.0,0.0,-11.103333333333328,0.0,-22.937500000000007,0.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0.4261513822756465,0,2.712900000000001,49.384000000000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_2.mol,ok,8.501960663895188,8.501960663895188,2.034444444444443,-7.259652777777777,0.43380523964873957,53.86666666666667,295.0129999999994,264.77299999999997,294.11761712000083,98,2,,,,,0.7333333333333333,1.0,1.2,,,,,,,,,2.676973432663431,9.910720147164657,846.3080805147964,37.707106781186546,37.21065495701676,9.987122054040277,18.707106781186546,18.12448349897449,9.0234934964068,1.8291504084151704,11.619691930733344,1.0726890872160042,11.677128130049063,0.40487592282511264,9.304038541961027,1.3535064935064933,97482723.71813282,1.8741498031339061,7.635634245372889,4.259142354277478,146.26661005784007,0.0,0.0,0.0,0.0,0.0,144.56471547327143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.69634441312704,12.072938521142719,0.0,0.0,0.0,41.111352703774074,36.68407983522774,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.68407983522774,13.573587728020396,0.0,82.23410938888067,0.0,0.0,0.0,0.0,0.0,103.44195878816494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.122756685106616,242.00121575018898,-2.034444444444443,0.0,0.0,0.0,0.0,-14.519305555555553,-29.65765306122451,-27.42870157785338,0.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0.9540214945178741,0,5.053500000000005,77.08600000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_3.mol,ok,9.120450247228522,9.120450247228522,2.7594444444444424,-8.524435941043082,0.2179946428992257,54.476190476190474,379.17499999999933,336.8390000000001,378.21151750400116,134,2,,,,,0.5714285714285714,0.8095238095238095,1.0,,,,,,,,,2.962136889102786,11.639510621667347,1332.1434067057767,52.707106781186546,52.21065495701676,12.987122054040277,26.207106781186546,25.62448349897449,10.5234934964068,2.5791504084151704,12.369691930733344,1.408099283840973,12.683358719923973,0.8463521366280637,11.62223330817613,1.3535064935064933,139508953551.2942,2.5394680136580328,12.737108952601288,8.136100228059863,201.31590874623342,0.0,0.0,0.0,0.0,0.0,199.2513675552903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.14544708716969,12.072938521142719,0.0,0.0,0.0,79.34890211175035,36.68407983522774,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.68407983522774,13.573587728020396,0.0,136.92076147089944,0.0,0.0,0.0,0.0,0.0,141.67950819614123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57185935914929,352.35036871693126,-2.7594444444444424,0.0,0.0,0.0,0.0,-17.04887188208616,-67.36703065948608,-29.31391061980348,0.0,1.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,1.5402609891242065,0,7.394100000000009,104.7880000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_4.mol,ok,9.44821916729655,9.44821916729655,2.9681944444444426,-8.967638888888892,0.30481315178320306,54.476190476190474,379.17499999999933,336.8390000000001,378.21151750400116,134,2,,,,,0.5238095238095238,0.7142857142857143,0.8571428571428571,,,,,,,,,2.9225828143279133,12.681313156784363,1227.0847566798152,52.707106781186546,52.21065495701676,12.987122054040277,26.207106781186546,25.62448349897449,10.5234934964068,3.249970801665108,14.382153110483154,1.9556415148219062,16.31351766247927,1.0028595475676174,14.33375372558282,1.3535064935064933,110611108677.1811,2.5394680136580328,8.4509390254802,4.255396845212231,201.3159087462334,0.0,0.0,0.0,0.0,0.0,199.25136755529027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.14544708716969,12.072938521142719,0.0,0.0,0.0,116.03298194697807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.81027653942994,13.573587728020396,0.0,139.79456476669722,0.0,0.0,0.0,0.0,0.0,141.6795081961412,8.224551337021321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.347308022127955,358.9103155706729,-2.9681944444444426,0.0,0.0,-36.377806122449016,0.0,-17.935277777777785,0.0,-65.76792611489043,0.0,1.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,1.0219471114562548,0,7.384500000000009,104.65600000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_5.mol,ok,9.44821916729655,9.44821916729655,1.4081944444444434,-6.69564814814815,0.3697545025124074,93.33333333333333,367.07899999999955,336.8390000000001,366.11761712000083,122,2,,,,,0.5238095238095238,0.7142857142857143,0.8571428571428571,,,,,,,,,3.794640531112471,1.9348142643214743,1285.1977278802422,40.707106781186546,40.21065495701676,12.987122054040277,21.707106781186546,21.12448349897449,12.0234934964068,4.749970801665108,15.882153110483154,3.37646190807184,19.07597884222909,2.0535170734860007,19.473258552950433,1.3535064935064933,13927511519.887554,3.098589974120661,4.496677712000187,2.124759350166775,178.42127582304434,0.0,0.0,0.0,0.0,0.0,177.0546582896521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.69634441312704,12.072938521142719,0.0,0.0,0.0,110.28537535538251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.81027653942994,13.573587728020396,0.0,117.59785550105903,0.0,0.0,0.0,0.0,0.0,135.93190160454563,8.224551337021321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.89820534808528,262.54498204837495,-1.4081944444444434,0.0,0.0,-25.022704081632675,0.0,-13.391296296296296,-46.861676114890415,0.0,0.0,1.0,21,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,8,6,0,6,0,0,0.663493355964553,6,5.908500000000006,91.97200000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_6.mol,ok,9.562400360607207,9.562400360607207,3.3283219954648517,-9.483298965419502,0.12454005976337044,54.81481481481482,463.33699999999925,408.90500000000026,462.3054178880015,170,2,,,,,0.48148148148148145,0.7037037037037037,0.8888888888888888,,,,,,,,,3.164983924577089,12.9251679566149,1848.9229401130287,67.70710678118655,67.21065495701676,15.987122054040277,33.707106781186546,33.12448349897449,12.0234934964068,3.3291504084151704,13.119691930733344,1.783099283840973,13.058358719923973,1.0140572349405481,12.125348603113583,1.3535064935064933,193547319068416.9,3.2053852724173097,18.14876644063643,12.60161824442403,256.36520743462677,0.0,0.0,0.0,0.0,0.0,253.93801963730917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59454976121228,12.072938521142719,0.0,0.0,0.0,117.58645151972664,36.68407983522774,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.68407983522774,13.573587728020396,0.0,191.6074135529183,0.0,0.0,0.0,0.0,0.0,179.9170576041175,16.44910267404264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57185935914929,464.67211641187686,-3.3283219954648517,0.0,0.0,0.0,0.0,-18.966597930839004,-108.86362552550871,-30.15245984895337,0.0,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,2.154584765235464,0,9.734699999999997,132.49000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_7.mol,ok,9.562400360607207,9.562400360607207,3.3283219954648517,-9.483298965419502,0.12454005976337044,54.81481481481482,463.33699999999925,408.90500000000026,462.3054178880015,170,2,,,,,0.48148148148148145,0.7037037037037037,0.8888888888888888,,,,,,,,,3.164983924577089,12.9251679566149,1848.9229401130287,67.70710678118655,67.21065495701676,15.987122054040277,33.707106781186546,33.12448349897449,12.0234934964068,3.3291504084151704,13.119691930733344,1.783099283840973,13.058358719923973,1.0140572349405481,12.125348603113583,1.3535064935064933,193547319068416.9,3.2053852724173097,18.14876644063643,12.60161824442403,256.36520743462677,0.0,0.0,0.0,0.0,0.0,253.93801963730917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59454976121228,12.072938521142719,0.0,0.0,0.0,117.58645151972664,36.68407983522774,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,36.68407983522774,13.573587728020396,0.0,191.6074135529183,0.0,0.0,0.0,0.0,0.0,179.9170576041175,16.44910267404264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57185935914929,464.67211641187686,-3.3283219954648517,0.0,0.0,0.0,0.0,-18.966597930839004,-108.86362552550871,-30.15245984895337,0.0,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,2.154584765235464,0,9.734699999999997,132.49000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_8.mol,ok,10.232422052154195,10.066708750629884,3.6931944444444413,-10.232422052154195,0.17769407185641214,65.48148148148148,463.33699999999925,408.90500000000026,462.3054178880015,170,2,,,,,0.5555555555555556,0.7777777777777778,0.9259259259259259,,,,,,,,,3.134943101548628,14.527774610930479,1839.864290087067,67.70710678118655,67.21065495701676,15.987122054040277,33.707106781186546,33.12448349897449,12.0234934964068,3.999970801665108,15.132153110483154,2.666051711446873,17.69474825235418,1.4443357613705667,16.65194849179791,1.3535064935064933,157335618835890.28,3.2053852724173097,12.914561760291463,5.738505435481361,256.36520743462677,0.0,0.0,0.0,0.0,0.0,253.93801963730914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59454976121228,12.072938521142719,0.0,0.0,0.0,154.27053135495436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.81027653942994,13.573587728020396,0.0,194.4812168487161,0.0,0.0,0.0,0.0,0.0,179.91705760411747,8.224551337021321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.79641069617062,477.74779761904745,-3.6931944444444413,0.0,0.0,-41.83306760204085,0.0,-20.464844104308387,-37.70937759826156,-70.6862027588814,0.0,1.0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,26,0,0,0,0,0,1.5331905950430378,0,9.725099999999998,132.35800000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_9.mol,ok,10.232422052154195,10.066708750629884,3.6931944444444413,-10.232422052154195,0.17769407185641214,65.48148148148148,463.33699999999925,408.90500000000026,462.3054178880015,170,2,,,,,0.5555555555555556,0.7777777777777778,0.9259259259259259,,,,,,,,,3.134943101548628,14.527774610930479,1839.864290087067,67.70710678118655,67.21065495701676,15.987122054040277,33.707106781186546,33.12448349897449,12.0234934964068,3.999970801665108,15.132153110483154,2.666051711446873,17.69474825235418,1.4443357613705667,16.65194849179791,1.3535064935064933,157335618835890.28,3.2053852724173097,12.914561760291463,5.738505435481361,256.36520743462677,0.0,0.0,0.0,0.0,0.0,253.93801963730914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59454976121228,12.072938521142719,0.0,0.0,0.0,154.27053135495436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.81027653942994,13.573587728020396,0.0,194.4812168487161,0.0,0.0,0.0,0.0,0.0,179.91705760411747,8.224551337021321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.79641069617062,477.74779761904745,-3.6931944444444413,0.0,0.0,-41.83306760204085,0.0,-20.464844104308387,-37.70937759826156,-70.6862027588814,0.0,1.0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,26,0,0,0,0,0,1.5331905950430378,0,9.725099999999998,132.35800000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conformer_10.mol,ok,10.685198333963218,10.685198333963218,3.334861111111108,-9.976933106575963,0.21429516558083242,97.21212121212122,535.4030000000007,480.97100000000034,534.3054178880016,194,2,,,,,0.36363636363636365,0.5151515151515151,0.6666666666666666,,,,,,,,,1.4730463897785913,2.4845474545869557,2270.941057400774,70.70710678118655,70.21065495701676,18.987122054040277,36.707106781186546,36.12448349897449,15.0234934964068,6.249970801665106,17.382153110483156,4.50146190807184,20.20097884222909,3.158722171798489,20.91387384788788,1.3535064935064933,3.0235542002998897e+22,4.385234265238019,10.993660547507295,4.50060605355617,288.51987319983175,0.0,0.0,0.0,0.0,0.0,286.42796245369055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.59454976121228,12.072938521142719,0.0,0.0,0.0,186.76047417133512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072938521142719,33.81027653942994,13.573587728020396,0.0,226.97115966509682,0.0,0.0,0.0,0.0,0.0,212.40700042049824,41.122756685106616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.89820534808528,511.4855730347695,-3.334861111111108,0.0,0.0,-39.86645408163268,0.0,-19.953866213151926,-137.46928051776274,0.0,0.0,1.0,33,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,8,6,0,6,0,0,1.460902331312859,6,10.589699999999992,147.37599999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
